trip_id,route_id,service_id
VL_TRIP_252,VL_ROUTE_4,WEEKDAY
VL_TRIP_253,VL_ROUTE_4,WEEKDAY
VL_TRIP_254,VL_ROUTE_4,WEEKDAY
VL_TRIP_255,VL_ROUTE_4,WEEKDAY
VL_TRIP_256,VL_ROUTE_4,WEEKDAY
VL_TRIP_257,VL_ROUTE_4,WEEKDAY
VL_TRIP_258,VL_ROUTE_4,WEEKDAY
VL_TRIP_259,VL_ROUTE_4,WEEKDAY
VL_TRIP_260,VL_ROUTE_4,WEEKDAY
VL_TRIP_261,VL_ROUTE_4,WEEKDAY
VL_TRIP_262,VL_ROUTE_4,WEEKDAY
VL_TRIP_263,VL_ROUTE_4,WEEKDAY
VL_TRIP_264,VL_ROUTE_4,WEEKDAY
VL_TRIP_265,VL_ROUTE_4,WEEKDAY
VL_TRIP_266,VL_ROUTE_4,WEEKDAY
VL_TRIP_267,VL_ROUTE_4,WEEKDAY
VL_TRIP_268,VL_ROUTE_4,WEEKDAY
VL_TRIP_269,VL_ROUTE_4,WEEKDAY
VL_TRIP_270,VL_ROUTE_4,WEEKDAY
VL_TRIP_271,VL_ROUTE_4,WEEKDAY
VL_TRIP_272,VL_ROUTE_4,WEEKDAY
VL_TRIP_273,VL_ROUTE_4,WEEKDAY
VL_TRIP_274,VL_ROUTE_4,WEEKDAY
VL_TRIP_275,VL_ROUTE_4,WEEKDAY
VL_TRIP_276,VL_ROUTE_4,WEEKDAY
VL_TRIP_277,VL_ROUTE_4,WEEKDAY
VL_TRIP_278,VL_ROUTE_4,WEEKDAY
VL_TRIP_279,VL_ROUTE_4,WEEKDAY
VL_TRIP_280,VL_ROUTE_4,WEEKDAY
VL_TRIP_281,VL_ROUTE_4,WEEKDAY
VL_TRIP_282,VL_ROUTE_4,WEEKDAY
VL_TRIP_283,VL_ROUTE_4,WEEKDAY
VL_TRIP_284,VL_ROUTE_4,WEEKDAY
VL_TRIP_285,VL_ROUTE_4,WEEKDAY
VL_TRIP_286,VL_ROUTE_4,WEEKDAY
VL_TRIP_287,VL_ROUTE_4,WEEKDAY
VL_TRIP_288,VL_ROUTE_4,WEEKDAY
VL_TRIP_289,VL_ROUTE_4,WEEKDAY
VL_TRIP_290,VL_ROUTE_4,WEEKDAY
VL_TRIP_291,VL_ROUTE_4,WEEKDAY
VL_TRIP_292,VL_ROUTE_4,WEEKDAY
VL_TRIP_293,VL_ROUTE_4,WEEKDAY
VL_TRIP_294,VL_ROUTE_4,WEEKDAY
VL_TRIP_295,VL_ROUTE_4,WEEKDAY
VL_TRIP_296,VL_ROUTE_4,WEEKDAY
VL_TRIP_297,VL_ROUTE_4,WEEKDAY
