agency_id,agency_name,agency_url,agency_timezone,agency_lang
AG_116,ČSAD AUTOBUSY České Budějovice a.s.,www.busem.cz,Europe/Prague,cs
AG_117,ČSAD AUTOBUSY České Budějovice a.s.,www.busem.cz,Europe/Prague,cs
AG_118,ČSAD AUTOBUSY České Budějovice a.s.,www.busem.cz,Europe/Prague,cs
AG_119,ČSAD AUTOBUSY České Budějovice a.s.,www.busem.cz,Europe/Prague,cs
AG_120,ČSAD AUTOBUSY České Budějovice a.s.,www.busem.cz,Europe/Prague,cs
AG_121,VOJTILA TRANS s.r.o.,www.vojtila-trans.cz,Europe/Prague,cs
AG_122,VOJTILA TRANS s.r.o.,www.vojtila-trans.cz,Europe/Prague,cs
AG_123,VOJTILA TRANS BUS s.r.o.,www.vojtila-trans.cz,Europe/Prague,cs
AG_124,VV autobusy s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_125,"METRANS Rail, s.r.o.",https://md.gov.cz/,Europe/Prague,cs
AG_126,Cvinger bus s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_127,MĚSTSKÁ DOPRAVA Mariánské Lázně s.r.o.,www.mdml.cz,Europe/Prague,cs
AG_128,Kokořínský SOK s.r.o.,www.kokorinskysok.cz,Europe/Prague,cs
AG_129,STENBUS s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_130,MEGABUSTRANS s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_131,"MARTIN UHER, spol. s r.o.",www.martinuher.cz,Europe/Prague,cs
AG_132,"Slezské zemské dráhy, o.p.s.",https://md.gov.cz/,Europe/Prague,cs
AG_133,DATA AUTOTRANS s.r.o.,http://www.dataautotrans.cz,Europe/Prague,cs
AG_134,ČSAD MHD Kladno a.s.,www.csadkladno.cz,Europe/Prague,cs
AG_135,"Autobusy KAVKA, a.s.",http://www.kavka-bus.cz,Europe/Prague,cs
AG_136,Quick Bus a.s.,http://www.quickbus.cz,Europe/Prague,cs
AG_137,"KŽC Doprava, s.r.o.",www.kzc.cz,Europe/Prague,cs
AG_138,H.F. TOUR s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_139,Služby města Špindlerův Mlýn s.r.o.,www.smsm.cz,Europe/Prague,cs
AG_140,"ČSAD Střední Čechy , a.s.",www.csad-sc.cz,Europe/Prague,cs
AG_141,Autobusová doprava Kohout s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_142,AUTODOPRAVA LAMER s.r.o.,www.lamer-doprava.cz,Europe/Prague,cs
AG_143,ČSAD BUS Uherské Hradiště a.s.,www.csaduh.cz,Europe/Prague,cs
AG_144,"PECHOČIAKOVÁ - ZEPRA, s.r.o.",https://md.gov.cz/,Europe/Prague,cs
AG_145,RegioJet a.s.,https://md.gov.cz/,Europe/Prague,cs
AG_146,GW Train Regio a.s.,https://md.gov.cz/,Europe/Prague,cs
AG_147,Správa Ústecké dráhy s.r.o.,www.usteckadraha.cz,Europe/Prague,cs
AG_148,ARRIVA vlaky s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_149,ABOUT ME s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_150,POVED s.r.o.,https://md.gov.cz/,Europe/Prague,cs
AG_151,LEXTRANS BUS s.r.o.,https://md.gov.cz/,Europe/Prague,cs
