stop_id,stop_name,stop_lat,stop_lon
ST_353,"VlakIDOL26, Jablonné v Podještědí",,
ST_354,"VlakIDOL26, Jedlová",,
ST_355,"VlakIDOL26, Jeřmanice",,
ST_356,"VlakIDOL26, Jesenný",,
ST_357,"VlakIDOL26, Jestřebí",,
ST_358,"VlakIDOL26, Jestřebí,křiž.",,
ST_359,"VlakIDOL26, Jičín",,
ST_360,"VlakIDOL26, Jičín zast.",,
ST_361,"VlakIDOL26, Jilemnice",,
ST_362,"VlakIDOL26, Jindřichovice p.Smrkem",,
ST_363,"VlakIDOL26, Jindřichovice p.Smrkem-Skanzen",,
ST_364,"VlakIDOL26, Jinolice",,
ST_365,"VlakIDOL26, Jiřetín p.Bukovou",,
ST_366,"VlakIDOL26, Jivany",,
ST_367,"VlakIDOL26, Josefův Důl",,
ST_368,"VlakIDOL26, Karlov p.Ještědem",,
ST_369,"VlakIDOL26, Karlovice-Sedmihorky",,
ST_370,"VlakIDOL26, Kněžnice",,
ST_371,"VlakIDOL26, Kořenov",,
ST_372,"VlakIDOL26, Kořenov zast.",,
ST_373,"VlakIDOL26, Košťálov",,
ST_374,"VlakIDOL26, Krásná Lípa",,
ST_375,"VlakIDOL26, Krásná Lípa město",,
ST_376,"VlakIDOL26, Krásná Studánka",,
ST_377,"VlakIDOL26, Krásný Les",,
ST_378,"VlakIDOL26, Krásný Les bažant.",,
ST_379,"VlakIDOL26, Kravaře v Čechách",,
ST_380,"VlakIDOL26, Kryštofovo Údolí",,
ST_381,"VlakIDOL26, Křižany",,
ST_382,"VlakIDOL26, Ktová",,
ST_383,"VlakIDOL26, Kunčice n.Labem",,
ST_384,"VlakIDOL26, Kyje u Jičína",,
ST_385,"VlakIDOL26, Levínská Olešnice",,
ST_386,"VlakIDOL26, Liberec",,
ST_387,"VlakIDOL26, Liberec-Horní Růžodol",,
ST_388,"VlakIDOL26, Liberec-Rochlice",,
ST_389,"VlakIDOL26, Liběšice",,
ST_390,"VlakIDOL26, Libštát",,
ST_391,"VlakIDOL26, Libuň",,
ST_392,"VlakIDOL26, Libuň zast.",,
ST_393,"VlakIDOL26, Líšný",,
ST_394,"VlakIDOL26, Litoměřice Cihelna",,
ST_395,"VlakIDOL26, Litoměřice horní n.",,
ST_396,"VlakIDOL26, Lomnice n.Popelkou",,
ST_397,"VlakIDOL26, Loukov u Mn.Hradiště",,
ST_398,"VlakIDOL26, Lučany n.Nisou",,
ST_399,"VlakIDOL26, Luh p.Smrkem",,
ST_400,"VlakIDOL26, Lužec p.Smrkem",,
ST_401,"VlakIDOL26, Lvová",,
ST_402,"VlakIDOL26, Machnín",,
ST_403,"VlakIDOL26, Machnín hrad",,
ST_404,"VlakIDOL26, Malá Bělá",,
ST_405,"VlakIDOL26, Malá Skála",,
ST_406,"VlakIDOL26, Malá Veleň",,
ST_407,"VlakIDOL26, Martinice v Krkonoších",,
ST_408,"VlakIDOL26, Mimoň",,
ST_409,"VlakIDOL26, Minkovice",,
ST_410,"VlakIDOL26, Mladá Boleslav hl.n.",,
ST_411,"VlakIDOL26, Mladá Boleslav město",,
ST_412,"VlakIDOL26, Mladá Boleslav-Debř",,
ST_413,"VlakIDOL26, Mnichovo Hradiště",,
ST_414,"VlakIDOL26, Mníšek u Liberce",,
